H2,CO,C2H4,C2H6,CH4,C2H2,CO2,H2O,TDCG,Rogers Ratios,Duval’s Triangle,Japan ETRA diagram,Transformer condition,Warning gases,Fault
12.82375656,1184.898191,5.124718712,41.78886971,103.8381699,4.626382694,10291.583,6.498548795,914.3793423,-,PD,Thermal fault LOW temperature,Warning,-,Arcing
32.97881038,1117.793268,40.25865787,51.91066572,114.7593047,4.45706364,9989.293726,8.769892082,95.00275995,-,-,-,Warning,Carbon Dioxide (CO?),Overheating
76.92764069,148.4528524,91.57981599,360.9174692,122.2219882,1.007497066,4579.403143,25.90363587,861.4085426,-,PD,-,Warning,Ethane & Carbon Dioxide,Electrical
110.0861449,914.708363,83.21670738,96.1192004,13.40133482,3.471910693,6273.91889,19.9670803,1201.77922,-,Thermal fault,Thermal fault LOW temperature,Warning,CO? & CO,Overheating
70.59851996,743.5425079,99.63458636,63.37552425,0.067981659,4.212051321,5762.40802,0.448507601,857.3673411,-,Thermal fault,-,Warning,CO? & CO,Arcing
0.860175384,260.0734221,74.77116146,26.92522013,63.2234182,2.390700455,225.7690182,4.488258019,814.842646,-,Thermal fault,Discharges + overheating,Warning,Ethane & Carbon Dioxide,Electrical
82.71215873,672.7070922,3.097057435,167.5526001,37.21395689,2.839074688,1996.935082,18.20177361,1269.26752,-,Thermal fault 300°C-700°C,-,Warning,CO,PD
50.07705617,728.5724688,33.09212001,284.9534927,108.6786433,2.761964723,4289.910717,43.47446754,251.8836663,-,Electrical and thermal fault,Thermal fault LOW temperature,Warning,-,Overheating
65.28960727,1339.464176,70.53151586,362.6238334,16.28267061,0.825899349,5605.496894,22.53601195,1492.360449,-,Electrical and thermal fault,Discharges + overheating,Warning,Carbon Dioxide (CO?),Electrical
31.16798026,1163.262241,79.78735341,315.6305751,30.04484343,4.920687602,8579.033746,23.77003967,781.6408885,-,PD,Thermal fault LOW temperature,Warning,Ethane & Carbon Dioxide,Arcing
89.01426185,1301.910054,24.02638674,107.5775432,102.4740112,2.331991786,3260.793339,6.197333173,230.4640491,-,Thermal fault,No diagnosis available,Warning,-,Arcing
39.31574822,162.3733115,53.51593037,230.8188443,12.46268374,0.675089812,3685.362257,18.95818077,955.8029821,-,PD,Thermal fault LOW temperature,Warning,Carbon Dioxide (CO?),Electrical
19.15918093,1079.294904,40.48346692,258.376785,36.6685013,4.672172037,1895.215124,44.43544098,883.8561353,-,-,-,Warning,Carbon Dioxide (CO?),Arcing
141.2509474,108.8214306,39.01054151,122.5255551,9.373489985,1.370418676,6604.330804,23.40866062,376.3040822,-,-,Discharges + overheating,Warning,Ethane & Carbon Dioxide,Thermal
78.30351864,1114.801196,5.559301041,35.72849647,113.5101014,4.219272944,5696.240596,39.69821593,907.5481528,-,Thermal fault 300°C-700°C,-,Warning,CO? & CO,Thermal
135.8267911,415.8719836,80.40622224,325.3213225,15.34976129,0.001194444,8175.752788,17.60902044,369.3653784,-,Thermal fault,Discharges + overheating,Warning,Carbon Dioxide (CO?),PD
26.42521309,474.3524197,38.84194275,158.6931752,17.30068915,0.591380635,8596.62944,39.31190936,1371.434431,-,Thermal fault,Discharges + overheating,Warning,Carbon Dioxide (CO?),Electrical
88.83148446,805.1660273,98.10693237,5.55893597,3.088006348,0.477117373,3433.67572,22.73151271,414.173455,-,Thermal fault,Discharges + overheating,Warning,-,Overheating
12.75516293,214.3261198,84.52480642,95.83093718,86.24241406,4.475338582,2927.148109,39.89289733,886.2509382,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,CO,Arcing
1.958441342,704.8290547,10.26780678,0.160786648,115.610157,3.063137288,2150.930366,33.31812455,1372.562053,-,Electrical and thermal fault,No diagnosis available,Warning,CO? & CO,Thermal
91.84113596,811.0661895,52.08895804,35.10827909,9.776543725,1.438295189,6388.533894,9.129709399,1007.845947,-,Thermal fault 300°C-700°C,-,Warning,-,PD
30.41415268,22.15193327,79.53335248,173.9629172,101.0960827,4.857192987,3068.791197,14.61654338,1411.978441,-,Thermal fault,No diagnosis available,Warning,Ethane & Carbon Dioxide,Electrical
33.44663348,775.943076,45.9517036,98.24684861,54.06793081,3.063989012,10579.69961,11.84893778,364.1694897,-,PD,Discharges + overheating,Warning,C?H?,Electrical
97.58478403,456.4755146,26.9956723,318.3295632,84.16831741,3.784243091,2403.369214,35.45337703,1104.688035,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,CO? & CO,Electrical
143.92765,1066.452167,19.15002312,59.23306117,36.13018218,0.86135921,1302.412151,10.60699476,1319.771282,-,-,-,Warning,Ethane & Carbon Dioxide,Electrical
25.77748757,850.1297485,44.84500084,242.6026266,134.3118651,3.620616698,402.8529703,44.67982919,1397.923437,-,PD,No diagnosis available,Warning,Carbon Dioxide (CO?),Electrical
50.99271135,1410.921337,26.71440469,42.18183532,119.2559091,4.513680418,8338.904305,13.50932627,745.0134566,-,Thermal fault 300°C-700°C,No diagnosis available,Warning,-,Thermal
86.86215684,713.8919944,1.701652771,253.1425325,51.467595,0.355883469,6193.931731,39.7643644,752.0066529,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,Ethane & Carbon Dioxide,PD
69.47660168,511.5346181,64.85625253,327.2618017,45.62962136,3.226510381,2434.556732,3.032541166,78.19722338,-,Thermal fault 300°C-700°C,-,Warning,Ethane & Carbon Dioxide,Overheating
57.36795651,791.014037,30.90754126,329.1636371,82.20174481,0.185575354,3155.745971,44.7311768,1356.565046,-,Electrical and thermal fault,Thermal fault LOW temperature,Warning,Carbon Dioxide (CO?),Arcing
69.85279311,1101.632821,75.32501009,103.830332,121.7254601,4.936963176,9410.52807,30.26581825,1.797655628,-,PD,Discharges + overheating,Warning,Carbon Dioxide (CO?),Overheating
43.27568935,100.9189212,73.13683357,191.8353411,134.0234525,4.65417759,5523.486808,42.82843721,1497.170283,-,Thermal fault,-,Warning,CO? & CO,Arcing
75.58083303,1136.914498,24.64207064,108.7824189,115.863223,4.141963953,1221.287156,23.43716124,1254.841265,-,Thermal fault,-,Warning,Ethane & Carbon Dioxide,Electrical
8.466833724,743.4972593,5.678705417,110.4670024,60.78154285,1.971818348,874.0085066,19.2169149,1236.840343,-,Electrical and thermal fault,Discharges + overheating,Warning,-,Thermal
46.2152774,1234.083895,7.570718651,312.7744245,24.02153932,0.314886794,3382.024868,2.905553345,972.2132968,-,Electrical and thermal fault,Discharges + overheating,Warning,-,Electrical
65.17479046,1385.019445,60.92786352,351.9670103,126.3383793,2.93114562,1565.952008,36.55960162,411.1225795,-,Thermal fault 300°C-700°C,No diagnosis available,Warning,-,PD
135.871238,150.8254191,34.85836644,316.7693257,39.68473418,0.93688632,1445.042613,13.44585285,1151.043674,-,Electrical and thermal fault,Discharges + overheating,Warning,-,Overheating
49.82004887,382.6694175,76.01359632,73.20970644,3.22734482,4.358936171,8321.837333,46.74395906,653.3141971,-,PD,-,Warning,CO? & CO,Overheating
34.52624146,1078.115468,26.92580201,49.5111745,59.96735562,2.599959354,4361.768921,25.78664763,1413.595573,-,Thermal fault 300°C-700°C,-,Warning,-,Electrical
10.26771737,1146.294857,35.98032522,357.4622218,0.158795456,4.87979368,261.3764465,29.82506601,1133.094425,-,Electrical and thermal fault,-,Warning,CO? & CO,Thermal
57.71181342,1239.777101,24.23179055,34.20752575,17.35616755,3.510026036,8307.992133,3.023851348,55.26464294,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,Ethane & Carbon Dioxide,Overheating
59.74276696,989.3394963,12.49549882,137.2635277,118.5117927,3.806696209,9517.368209,15.59491746,1456.151764,-,Thermal fault,No diagnosis available,Warning,Ethane & Carbon Dioxide,Arcing
55.99568177,1088.916833,55.65799822,102.1143622,59.4084816,4.054860209,220.5770952,46.82068078,147.1517557,-,Thermal fault,No diagnosis available,Warning,-,Arcing
149.3074193,480.586817,55.29472424,198.3808797,143.6887608,3.576976432,10997.4679,13.52998452,804.4886765,-,Electrical and thermal fault,-,Warning,Ethane & Carbon Dioxide,Electrical
12.4914891,765.2711295,18.06150527,90.11307234,39.6826306,4.794369422,262.6887977,25.35974259,1015.200053,-,-,Thermal fault LOW temperature,Warning,C?H?,Electrical
80.32754356,75.63238606,44.06710954,158.8907075,108.5032904,3.148252744,852.068682,3.952660647,1119.052259,-,-,No diagnosis available,Warning,-,Overheating
66.68074904,1477.983124,40.66262269,156.7562721,141.7472418,1.749073007,6514.559782,35.23278016,125.2632862,-,Thermal fault,No diagnosis available,Warning,C?H?,Thermal
67.39608149,97.85776612,45.59711324,216.7521733,87.66375836,2.207372374,3572.644927,47.45556718,1255.791866,-,-,-,Warning,CO,Electrical
20.39802006,122.8358328,23.12314149,201.7013535,123.2740276,4.029025765,3009.445155,44.80145183,30.21322081,-,Thermal fault,No diagnosis available,Warning,-,Arcing
99.97843582,437.526047,9.49600753,242.0482948,38.24850862,1.305693317,3916.222966,11.60529702,271.3751778,-,Thermal fault 300°C-700°C,-,Warning,CO,Thermal
123.5442342,300.7776726,76.18561304,58.25807441,136.9330883,2.78518768,1384.908725,17.80168417,156.2739387,-,Thermal fault 300°C-700°C,-,Warning,Ethane & Carbon Dioxide,Overheating
66.47194094,359.0455573,54.94148982,387.3786099,123.0336876,3.895884875,233.1896004,46.75851057,1069.694297,-,Thermal fault,-,Warning,-,Electrical
55.17364554,331.926899,60.88661208,138.9600606,21.44615194,0.966616674,6805.45583,26.92616725,1308.170494,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,Carbon Dioxide (CO?),Overheating
24.26477656,304.9940576,30.06514895,12.44160168,33.25900218,1.397582351,6780.708679,30.4365882,1027.207024,-,-,No diagnosis available,Warning,CO? & CO,Overheating
46.2580829,1357.06164,1.93678089,272.7324518,131.5930775,4.276457588,4336.38195,23.3016789,1048.640994,-,PD,Discharges + overheating,Warning,-,Electrical
59.52732224,588.4244779,59.33118807,56.82673215,63.47940812,2.709823752,5202.187392,19.04759883,376.8563124,-,Thermal fault,No diagnosis available,Warning,C?H?,Arcing
106.216156,482.4889437,11.86749885,257.6168768,16.45143672,3.781790796,1581.643977,16.58598433,196.3798045,-,Thermal fault 300°C-700°C,No diagnosis available,Warning,Carbon Dioxide (CO?),Arcing
62.69892074,950.2662931,77.08776716,277.0452772,51.93083618,0.461517384,6568.042838,42.03844006,840.6755988,-,PD,No diagnosis available,Warning,Carbon Dioxide (CO?),Electrical
90.18212735,545.7184023,91.04299468,133.971427,146.8685852,4.78833116,5102.327356,26.62215302,272.7461543,-,-,Discharges + overheating,Warning,Ethane & Carbon Dioxide,Arcing
74.62226179,1231.622064,10.54497417,14.04167065,29.98064173,0.041835259,2605.986158,23.8708992,1028.545525,-,Electrical and thermal fault,Discharges + overheating,Warning,-,PD
100.4101715,239.9958885,73.39186475,321.125131,112.9361172,0.468489191,9214.774405,25.4137481,139.0339942,-,PD,No diagnosis available,Warning,CO,Overheating
59.65676976,537.8588001,36.25297253,3.446484803,94.43070948,4.473710423,5352.078649,19.91072117,436.8052799,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,CO? & CO,Thermal
85.55956025,1099.246738,99.19322465,2.734875187,118.3784028,3.880133666,1639.911792,2.412741639,1214.994078,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,Carbon Dioxide (CO?),Electrical
90.0863437,69.44717706,43.29681338,106.2749913,6.629017287,1.026056781,855.6950649,39.16060348,1261.27437,-,PD,No diagnosis available,Warning,C?H?,PD
67.07565172,441.6104078,43.98653374,193.1573261,143.4651036,3.554030158,310.6386762,29.52746686,408.3252018,-,-,No diagnosis available,Warning,CO? & CO,Electrical
109.0411833,1321.284506,57.81331937,389.4706892,78.18155221,0.622899452,2251.372989,47.307595,1454.507984,-,PD,Thermal fault LOW temperature,Warning,CO,Arcing
68.60603983,391.9423127,86.42682842,350.5518897,59.85481786,1.287697842,8834.859551,22.67557747,846.3803533,-,Thermal fault 300°C-700°C,-,Warning,CO,PD
105.3261795,712.4269511,55.85352736,250.8969486,148.5780534,0.299812098,9567.048669,1.151522194,272.6328665,-,PD,No diagnosis available,Warning,CO? & CO,Arcing
7.906477304,251.5467471,40.0703533,181.2662658,106.2622712,3.131374233,7733.908599,33.69147356,348.230658,-,PD,No diagnosis available,Warning,CO? & CO,Arcing
22.19511273,245.4477165,11.09847336,323.114859,123.3271424,0.662011371,7491.684976,0.269372993,598.6315611,-,Thermal fault,No diagnosis available,Warning,C?H?,Thermal
138.1286296,1495.029807,40.43580539,30.23496329,22.77379038,0.007506532,4592.322046,3.859763518,456.6381891,-,Electrical and thermal fault,-,Warning,Ethane & Carbon Dioxide,Electrical
79.28794945,568.8476139,68.40318619,109.1651869,24.70564203,4.189591848,4422.484964,39.31467879,630.1487353,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,C?H?,Overheating
88.86885972,151.9100395,93.65064418,378.0752308,34.11562942,0.68426738,5116.028802,34.77701167,79.34471168,-,Thermal fault,Thermal fault LOW temperature,Warning,-,Electrical
24.57665731,154.7182202,19.39700787,97.23809267,5.873159777,1.993877679,4532.097,12.97097695,1086.106499,-,Thermal fault,Thermal fault LOW temperature,Warning,-,Electrical
128.2641335,1100.796588,50.65655774,299.6585904,141.313132,3.245579376,7685.138651,42.00223178,1274.039391,-,PD,No diagnosis available,Warning,Ethane & Carbon Dioxide,Electrical
96.50667785,1127.747237,24.8604315,141.5299812,143.1991689,3.205994195,5977.856529,35.84167643,1418.274241,-,Electrical and thermal fault,No diagnosis available,Warning,-,Thermal
9.286396027,560.4156163,28.49989365,292.5279708,71.44180847,0.729191593,10160.74788,26.77989536,961.6890747,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,Carbon Dioxide (CO?),PD
7.296179671,1499.931766,70.46078882,393.1591827,110.863549,1.495800057,6.914171602,5.200793668,397.7017276,-,-,Thermal fault LOW temperature,Warning,C?H?,PD
124.0228327,1109.025433,77.9732651,308.6771009,44.92165993,0.12491693,5578.675576,26.09556227,189.7632231,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,-,Thermal
48.10837711,341.1145654,41.76020436,62.52870904,20.24478018,3.353590305,1898.353446,37.26288444,382.1733406,-,Thermal fault,No diagnosis available,Warning,Carbon Dioxide (CO?),Arcing
147.8065196,164.8216073,96.81031985,171.8015212,142.0404923,4.900931912,8092.669524,38.05427929,1038.746136,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,CO,PD
95.82804253,732.6452347,22.18592827,10.64606695,34.29121372,1.381320177,5911.55427,26.78240064,122.5959595,-,-,No diagnosis available,Warning,CO,PD
147.5656644,374.5931265,16.85413092,370.2793225,16.84312064,0.949901273,6667.958368,23.66113994,1217.649804,-,Electrical and thermal fault,No diagnosis available,Warning,CO,Overheating
134.7549374,527.281044,39.09868923,38.80911416,25.85249416,2.069340133,10307.69773,40.09971913,638.6461188,-,Thermal fault,Discharges + overheating,Warning,Ethane & Carbon Dioxide,Overheating
96.69903638,246.9801705,97.34305964,233.9018285,57.78178545,2.59376924,2111.72551,5.652027486,883.0595585,-,-,No diagnosis available,Warning,C?H?,Electrical
39.42948579,374.5550685,58.17848828,288.9915785,106.6427619,4.805268384,6160.182082,47.0101769,1114.38442,-,Thermal fault 300°C-700°C,-,Warning,C?H?,Arcing
50.82882994,592.9809976,55.55179594,48.94464449,147.9883235,4.535782342,4766.205626,33.6299741,977.2370651,-,PD,No diagnosis available,Warning,Ethane & Carbon Dioxide,Thermal
15.91942345,1078.363005,34.46081068,82.34222995,95.05976367,4.996546254,7586.106612,25.10854712,1164.757683,-,Thermal fault,Thermal fault LOW temperature,Warning,-,Electrical
116.7409878,1104.426729,66.98474602,200.4091182,134.8682258,2.457975897,7950.862915,20.34285739,416.2100412,-,PD,Discharges + overheating,Warning,C?H?,Thermal
26.43982216,1394.23186,74.33733349,39.27286189,70.89916025,3.541808234,3637.822512,14.27231615,169.1088147,-,Thermal fault 300°C-700°C,No diagnosis available,Warning,Carbon Dioxide (CO?),Overheating
84.0620186,558.8175029,65.04774853,277.1181238,51.17491729,4.098019517,711.4769513,42.00839411,342.0763625,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,-,Electrical
116.7256759,1496.156584,24.93726791,41.65497591,40.08099806,3.374496124,3520.948921,35.4935383,854.2303942,-,PD,-,Warning,CO? & CO,Electrical
108.2753535,158.2828394,70.18992234,181.1488478,88.87104657,3.548040976,593.6206707,30.20729769,350.7541536,-,-,Discharges + overheating,Warning,-,PD
67.36355418,563.135457,30.58873888,57.22865118,65.41641246,2.662670633,9643.662782,41.36712487,1436.371792,-,-,Discharges + overheating,Warning,Ethane & Carbon Dioxide,Electrical
88.06666179,1436.767044,16.5470118,72.55129933,9.00565653,4.936385287,7899.499257,23.37769621,32.20081567,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,CO,Overheating
40.061599,387.2938189,88.29619104,172.9502295,109.9305118,0.120423988,5787.123732,18.76611526,217.4916671,-,PD,Thermal fault LOW temperature,Warning,C?H?,Overheating
96.19129747,480.1687271,32.43890783,264.3412275,70.11065509,4.731127141,6037.977932,20.3847312,415.4167935,-,Electrical and thermal fault,No diagnosis available,Warning,C?H?,PD
75.25050579,1045.326185,31.80272857,329.7235538,112.626822,4.747333124,2002.217332,27.48034393,887.5460725,-,-,Discharges + overheating,Warning,C?H?,PD
6.85276385,1213.205781,91.32639654,212.7777205,130.1712513,0.729446935,9350.782455,19.54456869,31.18279137,-,Electrical and thermal fault,Thermal fault LOW temperature,Warning,CO,Thermal
93.47126284,736.6746377,86.83073833,227.7017509,42.58454221,4.288668563,1271.482694,2.18053546,821.2367323,-,Thermal fault 300°C-700°C,-,Warning,C?H?,Thermal
135.6487675,1197.903153,64.73224178,370.4848602,142.2591476,1.75891052,5206.748868,37.34067883,794.4754521,-,Thermal fault 300°C-700°C,No diagnosis available,Warning,C?H?,Thermal
121.9490768,409.6532885,54.77270225,36.25340381,56.41731695,4.527837392,9959.04813,19.46042278,627.2869029,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,Carbon Dioxide (CO?),Thermal
105.836973,642.9773514,31.97105178,118.8275882,56.42340124,2.010518475,1775.523286,15.12232657,1372.878005,-,-,-,Warning,CO? & CO,Electrical
44.80346957,918.0191555,59.15181472,35.09338118,34.48557866,2.585952585,6321.21702,21.68222615,1367.580539,-,Electrical and thermal fault,Discharges + overheating,Warning,CO? & CO,Arcing
51.1286852,1212.816853,78.47325845,103.5322018,125.3551671,0.536669066,7599.316732,19.54216875,1068.787021,-,Thermal fault,Thermal fault LOW temperature,Warning,Ethane & Carbon Dioxide,PD
138.8137388,1046.420864,3.189039011,384.5974054,123.5028871,1.285009673,1607.168623,28.47523788,186.1973114,-,Electrical and thermal fault,No diagnosis available,Warning,C?H?,Overheating
42.30584837,176.0075415,72.26776606,200.0169332,32.71932518,3.264066371,9567.795454,8.947712952,753.9927109,-,Electrical and thermal fault,-,Warning,CO,Thermal
50.89195125,1239.592227,97.60404345,342.0379638,35.88314764,4.684551904,4106.021169,8.014003313,1251.802871,-,-,No diagnosis available,Warning,Ethane & Carbon Dioxide,Electrical
122.4171515,709.6848582,42.40846729,141.089971,17.70637442,1.313642274,3127.350216,16.01706203,411.1782232,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,-,PD
97.13242491,729.4543913,83.97775258,312.4351772,62.98073589,4.075893831,9314.226881,21.59359323,500.8656697,-,Electrical and thermal fault,Discharges + overheating,Warning,C?H?,Overheating
122.8729332,331.8422653,87.03299693,136.1544619,13.31857532,1.143847662,3081.235743,29.63946019,1055.408059,-,-,Discharges + overheating,Warning,-,Electrical
47.27082864,51.36642739,10.78653093,151.902054,72.25775939,4.062734525,4766.936615,32.82536664,288.9910321,-,-,-,Warning,CO? & CO,Electrical
81.73854551,1395.767199,18.42789305,108.2044005,30.74382315,0.146682806,2539.881185,37.75366202,1415.967462,-,Thermal fault,Discharges + overheating,Warning,Carbon Dioxide (CO?),Thermal
81.76916558,720.3118975,67.61591843,174.158134,126.2947394,4.478908931,7517.553842,45.4388663,287.4759499,-,Thermal fault,No diagnosis available,Warning,Ethane & Carbon Dioxide,Electrical
33.50313679,532.8713218,93.48216528,319.3823341,103.4625602,3.715572347,9523.189491,25.87476646,1090.429332,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,Ethane & Carbon Dioxide,Electrical
10.74369291,868.457809,98.77357079,276.043205,117.8309484,3.81263707,2006.380786,35.40516721,211.6613784,-,PD,Discharges + overheating,Warning,-,PD
45.55472797,1333.858776,36.11730731,45.72165459,56.53055132,1.513223245,10481.63733,27.39562369,1246.925725,-,PD,No diagnosis available,Warning,CO,Electrical
43.57414366,1018.862683,62.85913099,59.92383809,46.69332496,0.463207962,10166.13041,4.734549663,1350.630111,-,Electrical and thermal fault,No diagnosis available,Warning,C?H?,Thermal
28.19616198,1147.025367,63.59201256,288.7305338,131.1951444,1.453806663,476.8296466,41.10206306,970.192403,-,Electrical and thermal fault,Discharges + overheating,Warning,Ethane & Carbon Dioxide,PD
141.7909221,952.4980033,0.557954368,78.5693237,124.973268,4.18016661,1745.414431,12.77551028,241.0947056,-,PD,No diagnosis available,Warning,C?H?,PD
113.5196717,370.9489139,34.46479367,367.325928,21.14096561,4.658527859,7454.368763,3.240106761,1471.451182,-,PD,No diagnosis available,Warning,Carbon Dioxide (CO?),Electrical
17.95662431,1407.814558,71.26695209,68.51671132,13.37070497,2.557989107,5117.552897,48.25463816,188.7077736,-,Thermal fault,-,Warning,Ethane & Carbon Dioxide,Arcing
96.51146619,837.0722273,25.72944941,78.39738307,84.38799034,1.912955228,10752.94676,39.0026605,824.1637159,-,Thermal fault 300°C-700°C,No diagnosis available,Warning,CO,Overheating
145.3906693,987.1158385,9.187189979,27.6645355,53.75609419,2.672694199,3207.480342,22.18508829,1283.088831,-,Electrical and thermal fault,Discharges + overheating,Warning,CO? & CO,PD
137.6295248,914.9759883,18.84530372,17.35608458,36.00741625,4.076490591,3078.567769,1.860437752,297.7460034,-,-,Discharges + overheating,Warning,Carbon Dioxide (CO?),PD
82.81600979,862.8203192,9.355638,182.6588351,53.4964002,1.554281989,10147.57848,45.33555342,110.6446073,-,Thermal fault 300°C-700°C,No diagnosis available,Warning,-,PD
138.0976371,939.2806331,9.765986566,270.8892624,111.470814,0.779970414,5730.573311,27.58405331,374.2051029,-,-,Discharges + overheating,Warning,C?H?,Electrical
89.11357926,136.0604906,30.47449873,295.4749464,88.94884614,3.148678152,9479.105251,8.228950169,271.2093007,-,-,Thermal fault LOW temperature,Warning,C?H?,PD
149.6149773,1475.253911,68.4532186,353.529542,9.017881116,2.12802222,3367.901605,11.96508157,918.5197205,-,Electrical and thermal fault,No diagnosis available,Warning,CO? & CO,PD
125.9561821,412.6028453,49.06116839,259.4789231,121.7059925,1.791582269,3020.829837,16.48902651,696.9027797,-,Thermal fault,-,Warning,C?H?,PD
96.07676423,940.4507724,74.32991559,279.8610488,69.89058615,0.880989083,3398.332977,16.79410413,1093.13805,-,PD,Discharges + overheating,Warning,C?H?,Arcing
100.9300648,514.4529044,18.18459781,156.6670203,59.73060118,2.204314202,8657.688736,33.76424212,577.5620137,-,PD,-,Warning,CO,Thermal
16.52326882,604.0747109,25.14348797,52.50266904,112.3231189,2.238456116,10352.71415,12.7348111,737.1079707,-,Thermal fault,Thermal fault LOW temperature,Warning,C?H?,PD
99.28673468,1283.085319,78.36388795,343.9334305,40.80462396,1.61711838,1243.698467,37.23142863,910.4483245,-,PD,-,Warning,C?H?,Thermal
115.1672268,1093.608601,59.70147915,111.4992573,76.76609838,4.701647241,5651.813945,29.36664837,1300.868599,-,-,Discharges + overheating,Warning,Carbon Dioxide (CO?),Electrical
128.8672077,1027.946322,92.82139709,115.2459751,66.51552045,4.332660339,6457.401987,37.6554346,982.0435001,-,Electrical and thermal fault,Thermal fault LOW temperature,Warning,Ethane & Carbon Dioxide,Arcing
43.41722955,1439.43448,44.34681826,392.7633982,12.97913273,2.921634314,10856.67711,42.82862907,965.5494393,-,Electrical and thermal fault,Discharges + overheating,Warning,CO,Electrical
134.5427001,1373.837579,29.50408574,154.1725243,144.296806,1.839175397,4251.229681,42.94745593,180.281316,-,Electrical and thermal fault,Thermal fault LOW temperature,Warning,-,PD
7.546601527,1422.683128,73.06949197,390.573377,89.96853006,4.421960178,10584.69084,26.74225729,1366.727497,-,Thermal fault 300°C-700°C,-,Warning,C?H?,Thermal
84.59349204,636.3942548,54.26342424,326.8679737,99.87030782,2.879791192,1142.496685,45.38969858,428.5805743,-,PD,-,Warning,CO,Electrical
58.43923281,721.7225936,12.16149863,274.8184387,142.9753619,0.470928182,3214.016634,32.67994818,1151.075341,-,-,-,Warning,C?H?,Electrical
81.25355223,234.1652583,61.74183511,210.5230466,7.919180436,0.140110077,2250.844752,20.08244882,372.3277068,-,Thermal fault,Discharges + overheating,Warning,CO,Arcing
138.7680826,740.9974283,54.52060898,40.00146657,120.6311956,3.629803896,7781.542254,37.79519192,1161.235224,-,Thermal fault 300°C-700°C,-,Warning,Carbon Dioxide (CO?),Arcing
133.0420996,456.8617124,28.95172712,290.2683702,26.00131692,3.003061477,2561.348321,4.993601138,291.8799452,-,Thermal fault,Thermal fault LOW temperature,Warning,Carbon Dioxide (CO?),Arcing
0.858969753,1263.121039,13.27892813,83.19924841,65.16948634,0.676458297,3886.124262,38.60453762,1007.774358,-,Thermal fault,No diagnosis available,Warning,-,Arcing
140.7416641,334.5849049,37.28007117,32.55639479,50.64539408,0.582678676,4263.392109,29.24745218,1254.782379,-,Thermal fault,Thermal fault LOW temperature,Warning,C?H?,Electrical
149.4826338,742.272937,33.31843855,316.035989,141.1402372,3.690984884,10847.05117,35.67890011,393.7123244,-,-,Discharges + overheating,Warning,CO,Overheating
102.7708052,706.5166537,75.78324528,295.6423042,111.5551251,1.436952946,3829.905447,24.74945393,282.3913255,-,PD,No diagnosis available,Warning,CO? & CO,Electrical
141.2036888,1129.516745,59.52274756,210.3478312,74.73981292,3.876941812,1493.101332,38.32291977,395.0214763,-,-,No diagnosis available,Warning,C?H?,PD
19.18720765,271.6766836,28.74773638,171.5369091,72.96303644,2.775054285,7114.581419,33.02271171,357.5328545,-,Thermal fault,-,Warning,Ethane & Carbon Dioxide,PD
11.78428214,69.52454077,73.54891327,202.4248973,120.692076,0.696049304,1077.410665,20.41608646,1063.192164,-,Electrical and thermal fault,Thermal fault LOW temperature,Warning,CO? & CO,Electrical
113.2502014,114.8628335,60.57655351,264.5009004,119.8373962,0.703829384,2219.141699,46.22087801,760.6856264,-,Thermal fault,Discharges + overheating,Warning,CO? & CO,Arcing
102.9796539,1297.183218,68.12514121,61.20611901,45.05022506,1.152656895,6489.541158,29.58672477,1277.217661,-,Electrical and thermal fault,Discharges + overheating,Warning,Ethane & Carbon Dioxide,PD
85.42936396,464.8053799,0.308829144,231.8699932,95.33226368,4.09730967,4857.028186,25.73405847,309.6578544,-,Electrical and thermal fault,Discharges + overheating,Warning,CO,Thermal
127.1250626,557.0866721,51.12778619,204.3455292,45.3525526,4.488212553,9343.930126,41.16864441,318.6448029,-,PD,-,Warning,CO? & CO,Electrical
16.15800044,825.294812,83.11939003,146.8419757,42.16073368,0.988572717,5579.777813,10.56124084,1467.514541,-,Thermal fault,No diagnosis available,Warning,C?H?,Electrical
117.7062926,271.2403548,32.20250969,369.5066769,32.81030538,4.109874002,7586.707407,41.3218319,168.5834115,-,PD,Discharges + overheating,Warning,Carbon Dioxide (CO?),PD
148.1237224,712.3194625,8.679467012,87.78497674,63.62215325,4.285877042,8249.073178,7.909305911,408.8296643,-,PD,No diagnosis available,Warning,CO? & CO,Arcing
